"epoch","hdb_early - _step","hdb_early - _step__MIN","hdb_early - _step__MAX","hdb_early - backbone_lr","hdb_early - backbone_lr__MIN","hdb_early - backbone_lr__MAX","hdb_early - transformer_lr","hdb_early - transformer_lr__MIN","hdb_early - transformer_lr__MAX","hdb_early - mIoU","hdb_early - mIoU__MIN","hdb_early - mIoU__MAX","hdb_early - loss_growsp","hdb_early - loss_growsp__MIN","hdb_early - loss_growsp__MAX","hdb_early - loss_tarl","hdb_early - loss_tarl__MIN","hdb_early - loss_tarl__MAX","hdb_early - train_loss","hdb_early - train_loss__MIN","hdb_early - train_loss__MAX"
"59","2821.1363636363635","2795","2842","0.006440706656662376","0.006334800680698461","0.006540557327607223","0.00012836967723934016","0.00012660397814192928","0.00013044754932874065","","","","396.46025943756104","396.46025943756104","396.46025943756104","77.76882338523865","77.76882338523865","77.76882338523865","435.34467113018036","435.34467113018036","435.34467113018036"
"60","2865.245614035088","2843","2891","0.006232125612898326","0.0061219276501239695","0.0063255959206140805","0.0001246192508184305","0.0001224385530024794","0.00012641983450896788","13.076722661906306","13.076722661906306","13.076722661906306","396.8722267150879","396.8722267150879","396.8722267150879","77.2509605884552","77.2509605884552","77.2509605884552","435.4977070093155","435.4977070093155","435.4977070093155"
"61","2918.6875","2893","2940","0.0059997337311634875","0.005892800902855287","0.006107964980127951","0.00011982357479058013","0.00011785601805710576","0.000122159299602559","","","","394.25520610809326","394.25520610809326","394.25520610809326","77.99417972564697","77.99417972564697","77.99417972564697","433.25229597091675","433.25229597091675","433.25229597091675"
"62","2967.519230769231","2941","2988","0.005778964469939247","0.005671183644422961","0.005883403859175448","0.00011519173880101923","0.00011342367288845923","0.00011776205571800149","","","","392.4989757537842","392.4989757537842","392.4989757537842","76.79097771644592","76.79097771644592","76.79097771644592","430.89446461200714","430.89446461200714","430.89446461200714"
"63","3013.6363636363635","2989","3036","0.005560274518431718","0.0054719856397092564","0.0056569872258649305","0.00011109421730337593","0.00010924957090431969","0.00011332904222259575","","","","392.3137969970703","392.3137969970703","392.3137969970703","75.79097974300385","75.79097974300385","75.79097974300385","430.20928686857224","430.20928686857224","430.20928686857224"
"64","3062.2075471698113","3037","3084","0.005329187488679145","0.005224343254455968","0.005443459330778223","0.00010660300139902587","0.00010458225563483056","0.00010867894560403849","","","","391.3439874649048","391.3439874649048","391.3439874649048","75.28297662734985","75.28297662734985","75.28297662734985","428.9854757785797","428.9854757785797","428.9854757785797"
"65","3112.128205128205","3085","3132","0.00509931339433127","0.00500002","0.005214803590608374","0.00010192778213344207","0.00010009588874193905","0.00010439147045257086","","","","391.339900970459","391.339900970459","391.339900970459","74.21428561210632","74.21428561210632","74.21428561210632","428.44704377651215","428.44704377651215","428.44704377651215"
"66","3158.3333333333335","3133","3180","0.004891119928868544","0.004780466477371458","0.004990471130159511","0.00009752767222083584","0.00009551393491088069","0.00009990491125806096","","","","391.3143005371094","391.3143005371094","391.3143005371094","73.70699739456177","73.70699739456177","73.70699739456177","428.16779923439026","428.16779923439026","428.16779923439026"
"67","3205.521739130435","3181","3228","0.004669862268656961","0.004551825248269011","0.004770927218258473","0.00009302084243936698","0.00009113161338443556","0.00009503702483021559","","","","391.10753536224365","391.10753536224365","391.10753536224365","73.06782269477844","73.06782269477844","73.06782269477844","427.6414467096329","427.6414467096329","427.6414467096329"
"68","3254.688888888889","3230","3276","0.004444202350659018","0.0043383200298278395","0.004542315636714614","0.0000884097232727811","0.00008657712711154081","0.00009075122909568032","","","","391.1417808532715","391.1417808532715","391.1417808532715","72.38945853710175","72.38945853710175","72.38945853710175","427.33651012182236","427.33651012182236","427.33651012182236"
"69","3299.446808510638","3277","3324","0.004231517396366548","0.004107239097144713","0.004324125434262612","0.00008442187054484412","0.00008214478194289427","0.00008638790258481339","","","","390.9268970489502","390.9268970489502","390.9268970489502","72.13271772861481","72.13271772861481","72.13271772861481","426.9932559132576","426.9932559132576","426.9932559132576"
"70","3349.4666666666667","3325","3373","0.004011202335647599","0.0038920750198720515","0.004097845309677084","0.00007976630236755249","0.00007784150039744103","0.00008205083588485474","13.481356597810544","13.481356597810544","13.481356597810544","390.7684965133667","390.7684965133667","390.7684965133667","71.60863745212555","71.60863745212555","71.60863745212555","426.5728152394295","426.5728152394295","426.5728152394295"
"71","3400.4054054054054","3375","3422","0.003781301190694449","0.0036744440793859204","0.0038827655558905","0.0000753262418152941","0.00007339682185807072","0.00007765531111781","","","","394.30812644958496","394.30812644958496","394.30812644958496","76.42171943187714","76.42171943187714","76.42171943187714","432.51898616552353","432.51898616552353","432.51898616552353"
"72","3446.688888888889","3424","3470","0.0035653939238972274","0.0034594826723927797","0.003660638762775907","0.00007125863203090953","0.00006918965344785559","0.00007321277525551814","","","","392.4093475341797","392.4093475341797","392.4093475341797","75.59348964691162","75.59348964691162","75.59348964691162","430.2060923576355","430.2060923576355","430.2060923576355"
"73","3494.909090909091","3471","3518","0.0033407396625782424","0.003243152907089768","0.0034504011533673835","0.00006719635808033489","0.00006495247405117357","0.00006891725022478352","","","","391.9743432998657","391.9743432998657","391.9743432998657","74.57435822486877","74.57435822486877","74.57435822486877","429.2615224123001","429.2615224123001","429.2615224123001"
"74","3542.9767441860463","3519","3566","0.0031323334255426057","0.003043686736901637","0.003234216126053444","0.00006293143170578615","0.0000611375231505438","0.00006477367427125986","","","","391.97665309906006","391.97665309906006","391.97665309906006","73.98184192180634","73.98184192180634","73.98184192180634","428.9675740599632","428.9675740599632","428.9675740599632"
"75","3593.723404255319","3567","3614","0.002915041050663825","0.0028306099820869924","0.0030305133706362256","0.00005850254911635073","0.00005669825180652197","0.00006052251669744036","","","","392.01713848114014","392.01713848114014","392.01713848114014","73.38322913646698","73.38322913646698","73.38322913646698","428.7087530493736","428.7087530493736","428.7087530493736"
